timestamp,year,is_sandwich
2025-08-29 17:17:56,4,Yes
2025-08-29 18:33:07,3,Yes
2025-08-29 18:33:08,4,Yes
2025-08-29 18:33:28,3,Yes
2025-08-29 18:33:41,1,No
2025-08-29 18:34:19,1,No
2025-08-29 18:34:49,2,No
2025-08-29 18:35:00,1,No
2025-08-29 18:44:09,2,No
2025-08-29 19:09:17,1,No
2025-08-29 19:11:50,1,No
2025-08-29 19:28:00,3,No
2025-08-29 19:32:56,3,Yes
2025-08-29 19:33:26,4,No
2025-08-29 20:17:40,2,Yes
2025-08-29 22:07:14,4,Yes
2025-08-29 23:09:37,2,Yes
2025-08-30 14:32:39,4,No
2025-08-30 18:20:38,4,Yes
2025-08-30 18:24:33,2,No
2025-08-30 18:25:30,3,Yes
2025-08-30 19:37:43,2,No
2025-08-30 20:10:18,4,Yes
2025-08-30 21:57:42,4,No
2025-08-31 08:22:31,4,No
2025-08-31 09:56:00,3,No
2025-08-31 09:56:03,4,No
2025-08-31 09:56:04,2,No
2025-08-31 09:56:04,3,No
2025-08-31 09:56:52,4,No
2025-08-31 09:57:38,3,No
2025-08-31 10:02:12,4,No
2025-08-31 10:02:41,3,No
2025-08-31 10:02:48,3,No
2025-08-31 10:03:07,2,Yes
2025-08-31 10:03:20,4,No
2025-08-31 10:04:24,4,No
2025-08-31 10:04:54,2,No
2025-08-31 10:06:30,3,No
2025-08-31 10:09:51,4,No
2025-08-31 10:12:52,3,No
2025-08-31 10:15:12,4,No
2025-08-31 10:17:16,4,No
2025-08-31 10:22:21,2,No
2025-08-31 10:24:17,2,No
2025-08-31 10:41:17,4,No
2025-08-31 10:44:28,4,No
2025-08-31 10:44:50,3,No
2025-08-31 10:46:35,4,Yes
2025-08-31 10:50:08,4,No
2025-08-31 10:58:28,4,No
2025-08-31 10:59:02,4,No
2025-08-31 11:03:50,2,No
2025-08-31 11:06:04,2,No
2025-08-31 11:07:33,4,No
2025-08-31 11:10:34,4,No
2025-08-31 11:11:05,4,No
2025-08-31 11:11:35,2,Yes
2025-08-31 11:13:00,4,No
2025-08-31 11:30:19,4,No
2025-08-31 11:30:54,2,No
2025-08-31 11:30:58,3,No
2025-08-31 11:31:23,4,Yes
2025-08-31 11:49:53,4,No
2025-08-31 11:50:38,4,No
2025-08-31 11:51:09,4,No
2025-08-31 11:51:09,4,Yes
2025-08-31 11:51:13,3,No
2025-08-31 11:51:16,3,No
2025-08-31 11:53:54,2,No
2025-08-31 12:00:42,2,No
2025-08-31 12:04:11,3,Yes
2025-08-31 12:22:31,3,No
2025-08-31 12:25:05,4,No
2025-08-31 12:30:09,4,No
2025-08-31 13:10:24,4,Yes
2025-08-31 13:12:20,4,Yes
2025-08-31 13:12:56,4,Yes
2025-08-31 13:14:42,3,No
2025-08-31 13:22:55,2,No
2025-08-31 13:25:32,3,No
2025-08-31 13:50:23,4,Yes
2025-08-31 14:13:50,3,Yes
2025-08-31 14:18:08,2,No
2025-08-31 14:18:16,3,Yes
2025-08-31 14:18:46,4,No
2025-08-31 14:19:41,4,No
2025-08-31 14:21:10,3,No
2025-08-31 14:25:24,3,Yes
2025-08-31 14:30:15,2,No
2025-08-31 14:31:01,3,No
2025-08-31 14:44:03,2,No
2025-08-31 14:54:05,3,Yes
2025-08-31 14:54:17,4,No
2025-08-31 15:23:29,4,No
2025-08-31 15:40:13,4,Yes
2025-08-31 15:43:18,4,No
2025-08-31 15:43:49,1,No
2025-08-31 15:43:50,2,No
2025-08-31 15:44:16,3,No
2025-08-31 15:45:03,2,Yes
2025-08-31 15:45:37,2,No
2025-08-31 15:45:58,3,No
2025-08-31 15:46:27,4,Yes
2025-08-31 15:46:27,3,No
2025-08-31 15:46:54,4,Yes
2025-08-31 15:47:16,4,No
2025-08-31 15:47:33,2,No
2025-08-31 15:49:18,4,No
2025-08-31 15:52:46,3,No
2025-08-31 15:58:42,4,No
2025-08-31 16:08:29,3,No
2025-08-31 16:09:17,3,Yes
2025-08-31 16:13:45,3,No
2025-08-31 16:15:41,4,No
2025-08-31 16:43:22,4,Yes
2025-08-31 16:43:24,4,Yes
2025-08-31 17:00:49,4,Yes
2025-08-31 17:01:03,4,No
2025-08-31 17:05:19,1,No
2025-08-31 17:23:14,4,Yes
2025-08-31 17:29:16,2,Yes
2025-08-31 17:38:18,4,Yes
2025-08-31 17:44:06,3,No
2025-08-31 17:47:08,4,No
2025-08-31 17:50:22,4,Yes
2025-08-31 18:09:27,4,No
2025-08-31 18:09:28,4,No
2025-08-31 18:09:32,4,No
2025-08-31 18:18:14,2,No
2025-08-31 18:30:25,4,No
2025-08-31 18:44:48,4,Yes
2025-08-31 19:03:30,4,No
2025-08-31 19:04:20,4,No
2025-08-31 19:30:35,4,No
2025-08-31 19:50:52,4,No
2025-08-31 20:51:18,4,Yes
2025-08-31 20:58:48,3,No
2025-08-31 21:06:04,4,No
2025-08-31 21:06:12,4,No
2025-08-31 21:21:51,4,No
2025-08-31 21:26:35,4,No
2025-08-31 21:44:08,4,No
2025-08-31 22:07:39,3,No
2025-08-31 22:12:18,2,No
2025-08-31 22:21:53,4,No
2025-08-31 22:24:41,4,Yes
2025-08-31 22:32:07,4,No
2025-08-31 22:33:11,4,No
2025-08-31 22:41:58,4,Yes
2025-08-31 23:04:45,4,No
2025-08-31 23:06:20,4,No
2025-08-31 23:06:48,4,Yes
2025-08-31 23:06:57,4,No
2025-08-31 23:08:19,4,No
2025-08-31 23:09:03,4,No
2025-08-31 23:11:26,4,Yes
2025-08-31 23:12:23,4,Yes
2025-08-31 23:14:29,4,No
2025-08-31 23:32:41,4,No
2025-08-31 23:35:28,4,No
2025-08-31 23:47:05,4,Yes
2025-09-01 00:44:17,3,No
2025-09-01 00:46:48,4,No
2025-09-01 00:50:56,4,Yes
2025-09-01 01:11:31,4,No
2025-09-01 03:21:39,2,No
2025-09-01 07:26:38,4,No
2025-09-01 08:58:48,4,No
2025-09-01 09:00:49,4,Yes
2025-09-01 10:05:42,3,No
2025-09-01 10:06:17,2,Yes
2025-09-01 10:06:58,2,No
2025-09-01 10:07:18,3,No
2025-09-01 10:07:27,2,No
2025-09-01 10:09:54,2,Yes
2025-09-01 10:12:16,2,No
2025-09-01 10:22:43,4,Yes
2025-09-01 10:22:48,4,No
2025-09-01 10:23:26,2,No
2025-09-01 10:28:41,4,No
2025-09-01 10:30:41,2,Yes
2025-09-01 10:30:47,3,No
2025-09-01 10:30:53,3,Yes
2025-09-01 10:30:58,4,No
2025-09-01 10:31:02,1,No
2025-09-01 10:36:02,4,No
2025-09-01 10:37:06,2,No
2025-09-01 10:47:27,3,No
2025-09-01 10:55:24,4,No
2025-09-01 10:56:43,4,No
2025-09-01 10:57:07,2,No
2025-09-01 11:26:20,3,No
2025-09-01 11:28:55,4,No
2025-09-01 11:31:08,4,No
2025-09-01 11:44:44,4,Yes
